Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	12.9168	10.048	0.468672	0.0267072	0.0265648	7.94112	0.250032	0.024656	0.0256608	12.4925	12.768	12.6384	16.201	2.34	9.37152	20.0016	13.032	17.9904	0.734688	0.49648	0.721056	1	110.043
10	280	90	10	10	10	280	10	12.9216	10.0512	0.468544	0.026704	0.02656	7.94368	0.250064	0.0246528	0.025656	12.4963	12.7632	12.6336	16.201	2.3408	9.37094	20.0064	13.0368	17.9856	0.734592	0.49632	0.72096	1	110.012
10	280	90	10	10	10	280	10	12.9274	10.055	0.468384	0.0267008	0.0265536	7.94675	0.250112	0.0246512	0.0256496	12.5011	12.7574	12.6278	16.2	2.34176	9.37037	20.0122	13.0426	17.9798	0.734496	0.496128	0.720816	1	109.979
10	280	90	10	10	10	280	10	12.9341	10.0595	0.468192	0.026696	0.0265456	7.95034	0.25016	0.0246496	0.0256448	12.5059	12.7507	12.6211	16.199	2.34288	9.36922	20.0189	13.0493	17.9731	0.734448	0.495936	0.72072	1	109.943
10	280	90	10	10	10	280	10	12.9418	10.0646	0.467968	0.0266896	0.0265376	7.95443	0.250224	0.024648	0.0256416	12.5098	12.743	12.6134	16.1981	2.34416	9.36806	20.0266	13.057	17.9654	0.7344	0.495712	0.72048	1	109.905
10	280	90	10	10	10	280	10	12.9504	10.0704	0.467712	0.0266816	0.026528	7.95904	0.250288	0.0246448	0.0256384	12.5146	12.7354	12.6048	16.1962	2.34544	9.36691	20.0352	13.0646	17.9578	0.734352	0.495488	0.720336	1	109.865
10	280	90	10	10	10	280	10	12.96	10.0768	0.467456	0.0266736	0.0265168	7.96416	0.250352	0.0246432	0.0256336	12.5203	12.7267	12.5952	16.1933	2.34688	9.36518	20.0448	13.0723	17.9491	0.734256	0.495264	0.720048	1	109.823
10	280	90	10	10	10	280	10	12.9706	10.0838	0.4672	0.026664	0.026504	7.96979	0.250432	0.02464	0.0256288	12.5251	12.7181	12.5846	16.1894	2.34848	9.36288	20.0554	13.079	17.9395	0.73416	0.495008	0.719856	1	109.779
10	280	90	10	10	10	280	10	12.9821	10.0915	0.466976	0.0266544	0.0264896	7.97594	0.250512	0.0246384	0.0256224	12.529	12.7094	12.5731	16.1846	2.35024	9.36	20.0669	13.0858	17.929	0.734064	0.494752	0.71952	1	109.734
10	280	90	10	10	10	280	10	12.9946	10.0998	0.46672	0.0266432	0.0264736	7.98259	0.250592	0.0246368	0.0256176	12.5318	12.7018	12.5606	16.1789	2.352	9.35654	20.0794	13.0915	17.9174	0.733968	0.494528	0.71928	1	109.69
