[monophosphorylated PER]_0	[total PER]_0	[PER mRNA]_0	[nuclear PER]_0	[EmptySet]_0	[unphosphorylated PER]_0	[biphosphorylated PER]_0	(degradation of PER).Kd	(degradation of PER mRNA).Vm	(first phosphorylation of PER).K1	(removal of the first PER phosphate).V2	(transcription of PER).KI	(transcription of PER).Vs	(removal of the second PER phosphate).V4	(second phosphorylation of PER).V3	(transcription of PER).n	(removal of the second PER phosphate).K4	(removal of the first PER phosphate).K2	(translocation of PER to the cytoplasm).k2	(first phosphorylation of PER).V1	(translation of PER).ks	(second phosphorylation of PER).K3	(translocation of PER to the nucleus).k1	(degradation of PER).Vd	(degradation of PER mRNA).Km	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.842386	2.19905	0.10212	0.881827	0	3.10952e-006	0.474831	0.000951564	0.219957	0.00135813	4.80029e-006	0.0479563	0.000642712	148411	14.234	0.0634163	42.0481	3.25002	0.000117384	0.606934	0.0626938	28926.1	0.000131763	12617.9	8.12996e-005	2.81196e-006
0.0597199	0.0660706	0.759322	0.00634712	0	1.14113e-006	2.4539e-006	780.982	816.778	43.9521	0.00051403	0.000137839	0.809564	0.0205624	11587.3	0.000271716	26.3524	2.4322e-005	6.39172	0.000194507	0.00624313	6.08907e-006	0.671029	0.488473	0.121957	4.43842e-006
0.0358296	0.0611112	0.0111428	0.00186229	0	1e-006	0.0234183	0.634783	11.8582	1511.62	0.000257534	1215.79	2.61328e-006	0.0220422	0.00243747	1.12243e-005	0.331662	6413.36	1.12977e-006	5.18523	560173	4.91386e-006	0.673726	351.841	4.01889e-006	3.2857e-006
0.046551	0.657361	0.00944446	0.00108714	0	0.586765	0.0229574	0.594773	14.0964	2.24108	3.30783	1252.8	2.62486e-006	0.0268725	0.00189905	9.0193e-006	0.21306	2516.16	3.68572e-005	0.00515265	493026	0.0938606	0.515878	443.473	4.37676e-006	3.16435e-006
2.37369e-005	0.0950033	0.0405379	0.000168915	0	0.000729662	0.0940809	188816	10614.8	3.62124	0.000398299	0.00262427	0.907913	15.5741	5737.93	4.64294	0.00361362	182.421	554851	0.011295	0.789967	1.97548	0.022759	9.84394e-006	0.00801263	4.33112e-006
0.00187949	0.0872837	0.000218726	0.00293384	0	0.0823991	7.13246e-005	17674.3	0.0048943	3.25534e-005	0.0704556	68.6087	0.00406186	3.56917e-005	0.00227405	4.09519	9129.18	0.000190237	0.00967162	0.00833433	1.17064	1.91132e-005	69.3737	412894	0.000452898	3.44558e-006
1.59432	1.65515	0.000206819	0.00312094	0	0.0576644	4.48989e-005	13401.2	0.00950043	76.6705	117.892	182024	0.000848995	2.23872e-005	0.0016147	3.69868	3.31187e-006	55595.3	0.0160946	1.63334e-005	2.65597e-005	2.57076e-005	61.3603	364.216	0.000371242	2.84508e-006
1.00127	1.09824	0.000149158	0.00426723	0	0.000340529	0.0923608	521504	21756.9	21317.6	672.525	43.5915	0.000268833	2.45299	0.00142079	0.00280621	8665.29	712594	0.00112921	46.2396	0.60232	2.03107e-006	76.8154	678.506	0.00264027	3.26381e-006
0.00125202	2.4761	0.000696445	0.73484	0	1.73999	1.53478e-005	16407.7	0.000663361	1.29479e-006	25280.8	15360	0.000442335	2.3329e-006	149160	6.458	0.711397	75.041	0.000670185	4.97479e-005	0.00059877	1.78688e-006	11.8183	67889.7	18.7444	2.82158e-006
5.07523e-005	2.60314	1.94342	0.799362	0	1.66254	0.141184	1.90596	2.24296e-006	314009	30782.1	17652.1	0.000103988	3.41988e-006	783863	1.69332e-005	0.954464	0.0340504	0.000663919	1.67196e-005	0.000342978	0.311271	241.508	71.1478	25.2412	2.5358e-006
