Time	[X]	[Y]	[Z]
0.433	-14.2745	-23.558	39.5874
0.434	-14.3672	-23.6381	39.7667
0.435	-14.4599	-23.7162	39.9485
0.436	-14.5524	-23.7923	40.1329
0.437	-14.6447	-23.8661	40.3199
0.438	-14.7368	-23.9378	40.5094
0.439	-14.8287	-24.0072	40.7014
0.44	-14.9204	-24.0742	40.8958
0.441	-15.0118	-24.1388	41.0926
0.442	-15.1029	-24.2009	41.2917
0.443	-15.1937	-24.2604	41.4932
0.444	-15.2842	-24.3172	41.697
0.445	-15.3744	-24.3714	41.903
0.446	-15.4641	-24.4227	42.1111
0.447	-15.5535	-24.4712	42.3214
0.448	-15.6425	-24.5168	42.5338
0.449	-15.731	-24.5594	42.7481
0.45	-15.8191	-24.5989	42.9645
0.451	-15.9066	-24.6353	43.1827
0.452	-15.9936	-24.6685	43.4027
0.453	-16.0801	-24.6985	43.6245
0.454	-16.166	-24.7251	43.848
0.455	-16.2513	-24.7483	44.0731
0.456	-16.3359	-24.7681	44.2998
0.457	-16.4199	-24.7844	44.5279
0.458	-16.5032	-24.7971	44.7574
0.459	-16.5858	-24.8062	44.9883
0.46	-16.6676	-24.8115	45.2204
0.461	-16.7486	-24.8132	45.4536
0.462	-16.8289	-24.811	45.6879
0.463	-16.9083	-24.805	45.9232
0.464	-16.9868	-24.7951	46.1593
0.465	-17.0644	-24.7812	46.3962
0.466	-17.1411	-24.7634	46.6339
0.467	-17.2169	-24.7415	46.8721
0.468	-17.2916	-24.7156	47.1108
0.469	-17.3653	-24.6855	47.3499
0.47	-17.438	-24.6512	47.5893
0.471	-17.5096	-24.6128	47.8289
0.472	-17.5801	-24.5702	48.0686
0.473	-17.6494	-24.5233	48.3082
0.474	-17.7175	-24.4721	48.5477
0.475	-17.7845	-24.4167	48.787
0.476	-17.8502	-24.3569	49.0259
0.477	-17.9146	-24.2928	49.2643
0.478	-17.9777	-24.2243	49.5021
0.479	-18.0395	-24.1515	49.7392
0.48	-18.0999	-24.0743	49.9755
0.481	-18.159	-23.9927	50.2109
0.482	-18.2166	-23.9068	50.4452
0.483	-18.2728	-23.8165	50.6783
0.484	-18.3275	-23.7218	50.9101
0.485	-18.3807	-23.6228	51.1405
0.486	-18.4323	-23.5194	51.3693
0.487	-18.4824	-23.4117	51.5965
0.488	-18.5309	-23.2997	51.8219
0.489	-18.5778	-23.1834	52.0454
0.49	-18.623	-23.0629	52.2669
0.491	-18.6666	-22.9382	52.4863
0.492	-18.7084	-22.8092	52.7033
0.493	-18.7486	-22.6762	52.9181
0.494	-18.787	-22.539	53.1303
0.495	-18.8236	-22.3977	53.3399
0.496	-18.8584	-22.2525	53.5467
0.497	-18.8915	-22.1033	53.7507
0.498	-18.9227	-21.9502	53.9518
0.499	-18.952	-21.7933	54.1498
0.5	-18.9795	-21.6326	54.3446
0.501	-19.0051	-21.4682	54.5362
0.502	-19.0287	-21.3002	54.7243
0.503	-19.0505	-21.1286	54.909
0.504	-19.0703	-20.9536	55.09
0.505	-19.0882	-20.7751	55.2674
0.506	-19.104	-20.5934	55.441
0.507	-19.1179	-20.4084	55.6107
0.508	-19.1298	-20.2203	55.7764
0.509	-19.1397	-20.0292	55.9381
0.51	-19.1476	-19.8351	56.0956
0.511	-19.1535	-19.6381	56.2489
0.512	-19.1573	-19.4385	56.3978
0.513	-19.1591	-19.2362	56.5424
0.514	-19.1589	-19.0313	56.6826
0.515	-19.1566	-18.824	56.8182
0.516	-19.1522	-18.6145	56.9492
0.517	-19.1458	-18.4027	57.0756
0.518	-19.1373	-18.1888	57.1972
0.519	-19.1268	-17.973	57.3141
0.52	-19.1143	-17.7553	57.4262
0.521	-19.0997	-17.5359	57.5335
0.522	-19.083	-17.3148	57.6358
0.523	-19.0643	-17.0923	57.7332
0.524	-19.0436	-16.8684	57.8256
0.525	-19.0208	-16.6432	57.9131
0.526	-18.996	-16.417	57.9955
0.527	-18.9692	-16.1897	58.0728
0.528	-18.9404	-15.9615	58.1451
0.529	-18.9096	-15.7326	58.2123
0.53	-18.8769	-15.503	58.2744
0.531	-18.8422	-15.2729	58.3314
0.532	-18.8055	-15.0425	58.3833
0.533	-18.7669	-14.8118	58.4301
0.534	-18.7264	-14.5809	58.4718
0.535	-18.684	-14.35	58.5084
0.536	-18.6397	-14.1192	58.5399
0.537	-18.5936	-13.8886	58.5664
0.538	-18.5456	-13.6583	58.5879
0.539	-18.4959	-13.4285	58.6043
0.54	-18.4443	-13.1993	58.6158
0.541	-18.391	-12.9707	58.6223
0.542	-18.3359	-12.743	58.6239
0.543	-18.2791	-12.5161	58.6207
