Time	TGFbR	CoSmad	Smad_P	Smad_P_N	I_Smad_mRNA1	I_Smad_mRNA2	TGFb_TGFbR	Smad_P_Smad_P	Smad_P_CoSmad	Smad_P_Smad_P_N	I_Smad	TGFb	CoSmad_N	Smad	TGFb_TGFbR_P	Smad_N	Smad_P_CoSmad_N	I_Smad_TGFb_TGFbR_P
2000	178.084984186	9742.17339046	851.357064991	7028.51105828	1.69802456306	28.0049788473	0.548652759152	7.0488856929	59.3259289936	304.722128557	265.086731574	462.090490606	138476.844679	4614.31040729	1.09684358748	68886.1466684	5776.923288	800.369174092
2080	164.319221663	9790.90528142	761.186428706	7093.719296	1.8460269601	28.3217407242	0.50757885415	4.91311987538	47.4679574079	277.744296295	350.212782634	460.849062259	133562.207158	4995.69227902	0.847023403326	73156.1496637	5283.09780064	831.93639353
2160	154.853013239	10125.259102	683.863888012	6386.44182214	1.73031528554	30.7305031433	0.448762878552	3.85334891271	42.3204833236	258.97829239	424.768606759	463.027926622	141020.630383	5016.0340112	0.612644578044	70091.0306943	4910.75311814	821.280546378
2240	151.576152501	10184.8744829	626.89825964	6156.54024401	1.78684429395	31.9913398182	0.435735034394	3.19212581764	40.5240844684	247.643523293	522.701056752	470.579608127	138413.562831	4917.42041887	0.518818368418	75957.476521	5068.3172077	859.860573345
2320	145.233209496	9787.12012895	553.473136876	5896.1420605	1.84471528443	31.2941953819	0.410324881859	2.3540745034	36.3396223981	212.001046423	588.196501248	460.123543719	139693.981636	5353.36901756	0.396130678073	71548.4362967	4736.12861291	873.16079277
2400	127.579882126	10167.5595963	504.065176392	5445.90577599	1.7672519331	32.9306135923	0.394734216074	2.08112694223	30.4500150022	184.770364669	652.768875625	463.959614322	139416.677371	5048.99903593	0.329029606706	75300.5371805	4349.04917053	914.453027414
2480	116.078183397	9820.82228896	502.022258501	4946.96377994	1.76263220919	34.5811322338	0.375840097369	1.6237353319	29.5221945257	169.987586896	729.135284089	445.901176125	137104.023654	5399.79229638	0.267963953188	72845.107001	4021.63438894	913.168977491
2560	114.900975449	9396.23891608	450.136125427	4624.64520273	1.82629121739	35.6589134994	0.349615018859	1.37417012974	25.9853374208	155.231779554	827.137997647	447.059166599	129610.827029	5080.44969048	0.242009749043	75467.0452449	3862.27076441	928.459690652
2640	104.56423372	9684.74536277	396.713664496	4537.51673683	1.7456996454	35.6470766547	0.321334988364	1.1573469495	25.2992588652	133.022237649	962.108644797	449.541115918	133722.287497	5209.08507813	0.198725427743	72883.5134072	3615.17418914	944.081443394
2720	96.0561949033	9767.40102767	381.117373096	4234.91950385	1.86242547268	36.2451784712	0.314306892321	0.988837788415	23.804537781	117.60375911	999.472035917	471.271530056	136724.171251	5261.21708093	0.173970550897	73352.7696093	3541.6455098	925.913179288
2800	93.0101870582	9461.94458439	370.360372396	3834.15375517	1.72288197658	40.3438016936	0.274955123639	0.91460668193	21.7179946831	103.877251968	1151.07389655	445.429422255	133732.685834	5558.09021362	0.14720190584	78331.5760117	3146.66620242	899.580838565
2880	86.9549674818	10043.9499221	342.840705497	3896.68137508	1.86253154194	38.5730345166	0.26714907905	0.78327570538	20.537583057	89.9625481833	1215.83490693	458.886324504	135877.780956	5695.60602775	0.13217580113	80046.317486	2978.45744695	927.968145424
2960	76.3710679149	9704.38391613	313.775975682	3696.84683843	1.76769160133	39.7147954864	0.246304162301	0.677237111416	18.2011415059	79.6434114318	1248.33771296	438.650514036	138799.156666	5452.53380493	0.116854184894	76309.8227688	2910.60168525	919.701114948
3040	71.2045642303	9932.21524685	291.826892445	3431.58813987	1.77075313719	41.0041543649	0.245735761234	0.585174705374	17.8691138301	73.4698884871	1343.70268042	444.241815655	141114.474825	5662.20419352	0.0997668402909	81490.4713929	2882.20038035	938.352412499
3120	72.0025418091	9615.39376777	286.504474867	3094.56509153	1.774137502	44.643203731	0.223336864519	0.520154608123	16.251247908	62.649669733	1567.92781181	478.782584235	136513.910918	5363.48069469	0.086520649498	79719.6918045	2712.20832539	934.325672794
3200	66.930494023	9943.90991355	270.022130951	2897.68420446	1.72820410294	44.2300971727	0.21231573404	0.443944630027	14.7110262066	56.9847955208	1589.70787263	457.212696392	134217.560873	5798.66197312	0.0804231025	77821.0975997	2551.66129121	939.538148184
3280	60.8385425251	10027.7664434	233.441609601	2835.17640808	1.7114850695	46.2048662637	0.20043650105	0.401374657651	14.7680957819	53.1915432211	1671.76648413	477.788725586	137537.081264	5641.66105873	0.0733210004897	82159.4506469	2216.70003027	959.113069249
3360	58.3642374197	9572.44315758	241.900167062	2502.97393487	1.73375751041	45.2729927972	0.181605011342	0.329255187883	13.5505468963	46.7098815199	1787.11445751	459.27835955	138466.557268	5699.52181584	0.0602619163289	78818.5357827	2177.14501382	915.571817351
3440	55.1505096203	9838.09349215	222.171466776	2339.16362398	1.72234867357	45.962310882	0.186895984983	0.291468640631	12.6861470557	38.265257923	1973.85923363	466.578094003	136932.611451	5741.61799709	0.0554452380412	76570.4668755	2053.75133414	980.954360182
3520	49.7753343266	9692.80113799	200.756079645	2252.71686346	1.72854540864	46.0294873367	0.16349952919	0.263494858617	12.3702857014	34.6262897208	1993.83040947	452.526497984	138445.460523	5750.99697752	0.0518913432185	78492.0931599	2007.11693624	996.653466477
3600	48.053084173	9771.13490362	183.149117989	2138.86856994	1.8465289423	47.614127088	0.16322975394	0.236835184597	11.3287608636	31.3254190514	2140.34902374	457.313000888	138812.34433	5832.79593591	0.0478763416443	78002.2810377	1855.70050161	975.838122015
3680	42.9929994542	10119.6099264	174.537340309	2061.17371698	1.74861884761	48.3354403444	0.156331356359	0.21575760731	10.557801819	27.9372211466	2207.32739516	481.284653617	136807.457794	5861.60638404	0.0412835392186	79744.0571688	1680.17981696	961.185540428
3760	41.9729570406	9713.50440549	168.414306762	1931.97349317	1.82817051683	51.4575846425	0.145299427457	0.177462690291	9.83117062117	23.5375638122	2305.65491697	473.627137012	138598.577673	5761.11651017	0.0391974172012	79260.3248207	1583.56876248	960.935301458
3840	35.5260166992	9528.54901285	165.0455372	1869.26895855	1.78672534306	51.4806189364	0.13458661963	0.159865288824	8.96552176328	22.3801984621	2482.33422742	455.164627822	139181.516814	5682.81191889	0.0342238466401	81438.3494185	1506.02997136	959.403573243
3920	35.1752535375	9519.46331191	146.386092486	1662.68067737	1.76504221104	54.5512398541	0.125681487332	0.138965785095	8.6726617447	18.5419167673	2554.01789278	440.753667322	141469.098575	5856.81303263	0.031785205422	80246.1501797	1352.12415708	935.27641758
4000	33.9473872175	9647.59615379	135.728463593	1573.22367138	1.74809097432	56.0917607539	0.126169971608	0.122987372585	7.79227987127	15.8585763427	2466.42279388	469.755773956	137089.685703	5784.24842606	0.02891250031	79781.0142507	1300.95667351	936.318662752
